Topic	Count	Name	Representation	Label
0	1028	0_giochi_parco_sport_parchi	['giochi', 'parco', 'sport', 'parchi', 'sportive', 'gioco', 'sportiva', 'sportivi', 'sportivo', 'area', 'aree', 'associazioni', 'voucher', 'campo', 'sportello', 'manutenzione', 'descrizione', 'titolo', 'giardini', 'attivitа', 'presenti', 'contributi', 'campi', 'territorio', 'verdi', 'sicurezza', 'calcio', 'attrezzature', 'famiglie', 'progetto']	Gestione Impianti Sportivi
1	639	1_biblioteca_lettura_libri_leggere	['biblioteca', 'lettura', 'libri', 'leggere', 'nati', 'letture', 'libro', 'bambini', 'biblioteche', 'bibliotecario', 'incontri', 'laboratori', 'scuola', 'genitori', 'promozione', 'ragazzi', 'voce', 'comunale', 'progetto', 'alta', 'piccoli', 'punto', 'bibliotecari', 'animate', 'angolo', 'descrizione', 'titolo', 'lettori', 'sezione', 'etа']	Promozione della lettura infantile
2	583	2_euro_00_comune_contributo	['euro', '00', 'comune', 'contributo', 'colonia', 'bambini', 'anni', 'comunale', 'nati', '11', 'scuola', 'servizio', 'categoria', 'famiglie', '30', 'pari', 'iscrizione', 'estiva', 'fino', 'quota', 'anno', 'carico', 'folgarida', 'attivitа', 'figli', 'residenti', 'famiglia', 'dimaro', 'estive', 'associazioni']	Sostegno Attività Estive Minori
3	541	3_famiglia_family_famiglie_distretto	['famiglia', 'family', 'famiglie', 'distretto', 'politiche', 'familiari', 'amici', 'convention', 'network', 'eventi', 'iniziative', 'sito', 'benessere', 'familiare', 'comuni', 'descrizione', 'titolo', 'festa', 'servizi', 'comune', 'informazioni', 'comunitа', 'nazionale', 'attraverso', 'partecipazione', 'rete', 'comunicazione', 'promozione', 'associazioni', 'territorio']	Supporto e Promozione Familiare
4	447	4_piano_giovani_zona_estivo	['piano', 'giovani', 'zona', 'estivo', 'ragazzi', 'periodo', 'giovanile', 'anni', 'progetti', 'estiva', 'tavolo', 'attivitа', 'giovanili', 'adesione', 'progetto', 'comuni', 'colonia', 'comune', 'estive', 'bambini', 'titolo', 'descrizione', 'partecipazione', 'valle', 'comunitа', 'durante', 'luglio', 'estate', 'bassa', 'ludico']	Attività Estive Giovanili
5	428	5_distretto_famiglia_valle_descrizione	['distretto', 'famiglia', 'valle', 'descrizione', 'titolo', 'val', 'piano', 'adesione', 'chiese', 'comune', 'fasciatoio', 'sole', 'giovani', 'accordo', 'cembra', 'domicilio', 'collaborazione', 'zona', 'fasciatoi', 'aderito', 'all', 'festa', 'comano', 'aderisce', 'caldes', 'pedonali', 'rendena', 'cabina', 'bassa', 'serata']	Sviluppo e Collaborazione Locale
6	414	6_teatro_musicale_musica_teatrale	['teatro', 'musicale', 'musica', 'teatrale', 'spettacoli', 'rassegna', 'stagione', 'cinema', 'teatrali', 'giudicarie', 'banda', 'musicali', 'corsi', 'scuola', 'concerto', 'ragazzi', 'cinematografica', 'bambini', 'tariffe', 'rappresentazioni', 'descrizione', 'titolo', 'spettacolo', 'sala', 'attivitа', 'ingresso', 'collaborazione', 'agevolate', 'eccher', 'allievi']	Attività Culturali e Spettacoli
7	360	7_violenza_genere_donne_donna	['violenza', 'genere', 'donne', 'donna', 'sensibilizzazione', 'posto', 'occupato', 'tema', 'pari', 'giornata', 'opportunitа', 'prevenzione', 'novembre', 'panchina', 'sensibilizzare', 'vittime', 'internazionale', 'iniziative', 'volte', 'panchine', 'rossa', 'occasione', '25', 'paritа', 'tematica', 'rosse', 'iniziativa', 'evento', 'incontri', 'collaborazione']	Iniziative contro violenza di genere
8	341	8_scuole_alternanza_studenti_scuola	['scuole', 'alternanza', 'studenti', 'scuola', 'scolastico', 'lavoro', 'compiti', 'supporto', 'infanzia', 'educativo', 'scolastiche', 'progetti', 'dell', 'servizio', 'istituto', 'ragazzi', 'attivitа', 'istituti', 'tirocini', 'rovereto', 'territorio', 'sostegno', 'primaria', 'primarie', 'comunale', 'proseguire', 'comprensivo', 'scolastici', 'integrandosi', 'intende']	Supporto Educativo Scolastico
9	287	9_genitori_genitorialitа_formazione_figli	['genitori', 'genitorialitа', 'formazione', 'figli', 'incontri', 'sostegno', 'papа', 'coppia', 'supporto', 'spazio', 'genitoriali', 'mamme', 'competenze', 'adolescenti', 'bambini', 'serate', 'confronto', 'adulti', 'relazioni', 'materne', 'tana', 'relazione', 'educatori', 'titolo', 'educative', 'percorsi', 'descrizione', 'insieme', 'incontro', 'padri']	Sostegno alla Genitorialità
10	283	10_diciottenni_cerimonia_incontro_costituzione	['diciottenni', 'cerimonia', 'incontro', 'costituzione', 'giovani', 'doveri', 'incontri', 'copia', 'amministrazione', 'maggiorenni', 'attiva', 'responsabilitа', 'diritti', 'statuto', 'iniziative', 'cittadinanza', 'neo', 'comunale', 'tempo', 'etа', 'esercizio', 'comunitа', '18enni', 'formazione', 'autonomia', 'civica', 'bisogni', 'anni', 'impegno', 'disponibile']	Educazione Civica e Cittadinanza Attiva
11	253	11_parcheggi_rosa_parcheggio_gravidanza	['parcheggi', 'rosa', 'parcheggio', 'gravidanza', 'fasciatoio', 'donne', 'mamme', 'igienici', 'fasciatoi', 'riservati', 'presso', 'aree', 'piccoli', 'auto', 'riservato', 'bimbi', 'municipio', 'pressi', 'prossimitа', 'via', 'family', 'servizi', 'parco', 'posti', 'bagni', 'descrizione', 'pubblici', 'stato', 'titolo', 'pubblico']	Servizi per Genitori e Bambini
12	253	12_culturali_turismo_museo_culturale	['culturali', 'turismo', 'museo', 'culturale', 'storico', 'musei', 'eventi', 'arte', 'percorso', 'familiare', 'storia', 'turisti', 'paese', 'territorio', 'locale', 'artistico', 'cittа', 'attivitа', 'fondazione', 'spiccate', 'patrimonio', 'rendono', 'visite', 'famiglie', 'descrizione', 'titolo', 'idoneo', 'all', 'ricreativi', 'evidenza']	Promozione Turistica e Culturale
13	245	13_ecologica_ambientale_giornata_ambiente	['ecologica', 'ambientale', 'giornata', 'ambiente', 'rifiuti', 'educazione', 'pulizia', 'raccolta', 'giornate', 'rispetto', 'tutela', 'sensibilizzare', 'ecologiche', 'differenziata', 'cura', 'collaborazione', 'territorio', 'sensibilizzazione', 'dell', 'corretta', 'cittadini', 'ambientali', 'laboratori', 'associazioni', 'sostenibilitа', 'riuso', 'natura', 'riciclo', 'tema', 'decoro']	Gestione e Sostenibilità Ambientale
14	244	14_asilo_nido_convenzione_servizio	['asilo', 'nido', 'convenzione', 'servizio', 'infanzia', 'asili', 'prima', 'comune', 'monclassico', 'posti', 'sovracomunale', 'struttura', 'pellizzano', 'residenti', 'lagarina', 'comunale', 'gestione', 'villa', 'descrizione', 'privato', 'titolo', 'servizi', 'convenzioni', 'mantenimento', 'anni', 'confermare', 'comuni', 'cooperativa', 'bambini', 'pomarolo']	Servizi per l'infanzia
15	231	15_associazioni_sale_comunali_gratuito	['associazioni', 'sale', 'comunali', 'gratuito', 'culturali', 'locali', 'strutture', 'sedi', 'uso', 'attivitа', 'riunioni', 'contributi', 'spazi', 'associazionismo', 'concesse', 'gruppi', 'disposizione', 'sostegno', 'pubbliche', 'territorio', 'culturale', 'utilizzo', 'attrezzature', 'comune', 'concessione', 'sociale', 'manifestazioni', 'sportive', 'iniziative', 'tutte']	Gestione Spazi Comunitari
16	225	16_benvenuto_nati_nuovi_kit	['benvenuto', 'nati', 'nuovi', 'kit', 'nato', 'regalo', 'natalitа', 'contenente', 'prodotti', 'lettera', 'benvenuti', 'pigotta', 'ogni', 'dono', 'bambino', 'bimbi', 'unicef', 'nuovo', 'iniziativa', 'neonato', 'pacchetto', 'albero', 'genitori', 'anagrafe', 'buono', 'famiglie', 'registrazione', 'libro', 'viene', 'consegnato']	Kit di benvenuto per neonati
17	207	17_anziani_persone_anziane_domicilio	['anziani', 'persone', 'anziane', 'domicilio', 'sociale', 'accompagnamento', 'servizi', '19', 'intervento', 'assistenza', 'alzheimer', 'persona', 'compagnia', 'progetto', 'spesa', 'servizio', 'mediche', 'autosufficienti', 'domiciliare', 'anziana', 'laghi', 'sostegno', 'lavori', 'aiuto', 'inclusione', 'popolazione', 'interventi', 'farmaci', 'attivitа', 'socializzazione']	Assistenza Domiciliare Anziani
18	206	18_pannolini_lavabili_rifiuti_tariffa	['pannolini', 'lavabili', 'rifiuti', 'tariffa', 'smaltimento', 'acquisto', 'contributo', 'misura', 'pannoloni', 'tessili', 'nuclei', 'fino', 'kit', 'litri', 'agevolazioni', 'sanitari', 'agevolazione', 'handicap', 'annuali', 'comprendono', 'indifferenziato', 'inferiore', 'utenze', 'esenzione', '100', 'pagamento', '00', 'fissa', 'etа', 'svuotamenti']	Gestione Rifiuti Sanitari
19	203	19_legna_alloggi_ardere_casa	['legna', 'alloggi', 'ardere', 'casa', 'edilizia', 'fornitura', 'locazione', 'abitativa', 'legname', 'assegnazione', 'abitazione', 'canone', 'prezzo', 'affitto', 'unitа', 'residenza', 'bando', 'proprietа', 'appartamenti', 'alloggio', 'regolamento', 'parenti', 'contributo', 'agevolato', 'legnatico', 'diritto', 'uso', 'prima', 'quintali', 'persone']	Gestione Alloggi e Abitazioni
20	195	20_uffici_apertura_orario_comunali	['uffici', 'apertura', 'orario', 'comunali', 'orari', 'esigenze', '30', 'lavorative', 'pubblico', '00', 'ore', 'ricevimento', 'compatibili', 'flessibilitа', 'tempi', '12', 'appuntamento', 'conciliazione', 'dipendenti', 'fasce', 'orarie', 'identificando', 'lavoro', 'pomeriggio', '18', 'familiari', 'compatibile', 'mercoledм', 'pomeridiana', 'famigliari']	Gestione Orari Uffici Pubblici
21	179	21_family_audit_certificazioni_premianti	['family', 'audit', 'certificazioni', 'premianti', 'certificazione', 'marchio', 'disciplinare', 'trentino', 'sistemi', 'gare', 'organizzazioni', 'fornitori', 'punteggio', 'conciliazione', 'appalto', 'certificate', 'lavoro', 'bandi', 'famiglia', 'ottenuto', 'approvato', 'rispetto', 'procedure', 'politiche', 'giunta', 'distretto', 'attribuzione', 'possesso', 'processo', 'orientando']	Gestione Appalti e Certificazioni
