,Codice,azione,Macroambito,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza
22,B04-0436,Sostegno economico alle associazioni del territorio / Concessione spazi,Misure economiche,29,B,Misure economiche,4,Agevolazioni e contributi,1146
77,E19-1908,Servizi doposcuola e servizi estivi,Welfare territoriale e sostenibilitа,113,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,989
45,D10-1016,"Proposte culturali: museo, cinema, teatro, arte ecc.",Comunitа educante,68,D,Comunitа educante,10,Eventi e attivitа per le famiglie,978
86,E20-2012,"Pianificazione urbanistica (strade, parchi, orti, campi sportivi ecc.)",Welfare territoriale e sostenibilitа,131,E,Welfare territoriale e sostenibilitа,20,Orari e permessi,905
21,B04-0432,Agevolazioni tariffarie e contributi attivitа ricreative/culturali/aggregative/formative,Misure economiche,28,B,Misure economiche,4,Agevolazioni e contributi,869
28,C06-0604,Strumenti di comunicazione,Informazione e comunicazione,46,C,Informazione e comunicazione,6,Comunicazione,810
32,D08-0812,"Incontri formativi e informativi: Educazione, Genitorialitа, Conciliazione, Vita di coppia",Comunitа educante,54,D,Comunitа educante,8,Formazione,781
23,B04-0440,"Promozione della natalitа (Bonus bebи, kit nuovi nati ecc.)",Misure economiche,30,B,Misure economiche,4,Agevolazioni e contributi,695
90,D09-0932,Attivitа/progetti formativi specifici per bambini e ragazzi,Comunitа educante,196,D,Comunitа educante,9,Progetti per protagonismo dei giovani,644
34,,"Attivitа  di educazione ambientale (laboratori, giornate ecologiche, giornata del riuso, raccolta differenziata)",,56,D,Comunitа educante,8,Formazione,622
19,B04-0424,Agevolazioni tariffarie e contributi per servizi educativi e di conciliazione,Misure economiche,26,B,Misure economiche,4,Agevolazioni e contributi,604
41,D09-0928,Centri di aggregazione per giovani,Comunitа educante,64,D,Comunitа educante,9,Progetti per protagonismo dei giovani,589
