,Voce della tassonomia,Frequenza,Codice,azione,Macroambito,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,count
0,101,11,E16-1612,Banche del tempo,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,16,Sostenibilitа e share economy,14
1,20,23,A03-0324,Carta della qualitа dei servizi,Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,29
2,69,32,D10-1020,"Laboratori creativi e educativi (Corsi abilitа,pratiche e artigianato, antichi mestieri ecc)",Comunitа educante,D,Comunitа educante,10,Eventi e attivitа per le famiglie,53
3,12,35,A02-0220,Istituzione/coinvolgimento della consulta per la famiglia,Governance e azioni di rete,A,Governance e azioni di rete,2,Azioni di rete e sussidiarietа,55
4,120,43,E19-1936,Housing sociale,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,73
5,8,83,A02-0204,"Partecipazione e promozione di eventi organizzati da ACS (Convention Comuni, Meeting Distretti, Festival della famiglia ecc.)",Governance e azioni di rete,A,Governance e azioni di rete,2,Azioni di rete e sussidiarietа,95
6,18,84,A03-0316,Integrazione delle politiche (politiche famiglia/giovanili/sociali/sanitarie ecc),Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,117
7,5,85,A01-0120,Sistemi premianti,Governance e azioni di rete,A,Governance e azioni di rete,1,Promozione e supporto certificazioni family,126
8,40,89,B05-0516,Wifi free,Misure economiche,B,Misure economiche,5,Benefit e scontistica,103
9,82,91,D13-1316,Incontri formativi e informativi sulla disabilitа,Comunitа educante,D,Comunitа educante,13,Disabilitа e fragilitа sociale,115
10,103,98,E17-1704,Certificazioni ambientali,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,17,Servizi educativi,102
11,17,100,A03-0312,"Monitoraggio e Valutazione della soddisfazione/qualitа dei servizi e indagini sui fabbisogni e d’impatto dei progetti/politiche (questionari, ricerche ecc.)",Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,117
12,52,101,D08-0804,"Incontri formativi e informativi: Media education, cittadinanza digitale, digital divide e nuove tecnologie",Comunitа educante,D,Comunitа educante,8,Formazione,126
13,63,102,D09-0924,Attivitа e incontri di formazione su tematiche di politiche giovanili,Comunitа educante,D,Comunitа educante,9,Progetti per protagonismo dei giovani,126
14,92,103,D14-1408,Sensibilizzazione sul tema dell'intercultura ,Comunitа educante,D,Comunitа educante,14,Nuove cittadinanze,115
15,135,111,E20-2028,Sentieristica Family,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,20,Orari e permessi,124
16,75,112,D12-1204,"Attivitа con RSA, progetti tra generazioni",Comunitа educante,D,Comunitа educante,12,Eventi o attivitа intergenerazionali,136
17,37,148,B05-0504,Fornitura legna,Misure economiche,B,Misure economiche,5,Benefit e scontistica,156
18,109,152,E18-1812,Servizio Tagesmutter,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,18,Servizi territoriali,154
19,97,153,D15-1516,Pari opportunitа e tematiche di genere: Incontri formativi e informativi,Comunitа educante,D,Comunitа educante,15,Pari opportunitа,168
20,57,176,D08-0824,"Sensibilizzazione su convivenza e rispetto reciproco (impegno civico, volontariato, sicurezza stradale, giornata dell’infanzia e dell’adolescenza, sicurezza delle famiglie)",Comunitа educante,D,Comunitа educante,8,Formazione,202
21,134,178,E20-2024,Sostegno alla mobilitа,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,20,Orari e permessi,234
22,23,191,B04-0412,Agevolazioni e contributi per famiglie numerose,Misure economiche,B,Misure economiche,4,Agevolazioni e contributi,247
23,55,192,D08-0816,"Incontri formativi e informativi: Salute e stili di vita, Contrasto alle dipendenze",Comunitа educante,D,Comunitа educante,8,Formazione,248
24,117,192,E19-1924,"Progetti per favorire l’autonomia dei bambini (Pedibus, Nonno vigile, ecc.)",Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,221
25,121,192,E19-1940,Ambulatori e servizi sanitari,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,229
26,51,213,C07-0704,Sportelli informativi e di orientamento,Informazione e comunicazione,C,Informazione e comunicazione,7,Ascolto,271
27,70,216,D10-1024,"Turismo a misura di famiglia (servizi ricettivi, accoglienza ecc.)",Comunitа educante,D,Comunitа educante,10,Eventi e attivitа per le famiglie,242
28,66,219,D10-1008,"Eventi di valorizzazione del territorio e dell’attrattivitа locale (passeggiate, enogastronomia, fiera dell’agricoltura..)",Comunitа educante,D,Comunitа educante,10,Eventi e attivitа per le famiglie,252
29,16,221,A03-0308,"Incontri di progettazione e programmazione, gruppo di lavoro",Governance e azioni di rete,A,Governance e azioni di rete,3,Progettazione e monitoraggio,268
30,9,232,A02-0208,Interventi per rafforzare la rete,Governance e azioni di rete,A,Governance e azioni di rete,2,Azioni di rete e sussidiarietа,314
31,90,238,D13-1348,Consegna spesa a domicilio/ Banco alimentare,Comunitа educante,D,Comunitа educante,13,Disabilitа e fragilitа sociale,311
32,65,259,D10-1004,"Promozione e organizzazione di eventi ludici (festa delle famiglie, spettacoli ecc.)",Comunitа educante,D,Comunitа educante,10,Eventi e attivitа per le famiglie,311
33,110,275,E18-1816,"Servizi integrativi: Spazio genitori/bambini, spazio gioco",Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,18,Servizi territoriali,337
34,89,292,D13-1344,Azioni di contrasto alle dipendenze,Comunitа educante,D,Comunitа educante,13,Disabilitа e fragilitа sociale,335
35,127,294,E19-1964,Orari concilianti per i propri utenti,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,306
36,1,295,A01-0104,"Promozione strumenti ACS (Family Audit, Family in Trentino, Network nazionale, Distretto Famiglia, EuregioFamilyPass, Family in Italia)",Governance e azioni di rete,A,Governance e azioni di rete,1,Promozione e supporto certificazioni family,383
37,114,300,E19-1912,Fasciatoi/Spazio allattamento/Baby Little Home/Spazi per la famiglia,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,359
38,116,303,E19-1920,Biblioteca family-oriented / media library,Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,19,Ambiente e infrastrutture,356
39,58,339,D09-0904,"Tirocini, promozione di percorsi lavorativi, Alternanza scuola lavoro ",Comunitа educante,D,Comunitа educante,9,Progetti per protagonismo dei giovani,408
40,73,344,D11-1112,"Promozione e organizzazione di eventi sportivi (giornata dello sport, escursioni, ecc)",Comunitа educante,D,Comunitа educante,11,Sport,401
41,3,355,A01-0112,Adesione  ai marchi familiari,Governance e azioni di rete,A,Governance e azioni di rete,1,Promozione e supporto certificazioni family,407
42,11,372,A02-0216,Adesione/supporto al piano giovani,Governance e azioni di rete,A,Governance e azioni di rete,2,Azioni di rete e sussidiarietа,389
43,62,376,D09-0920,"Progetti di partecipazione attiva di bambini, ragazzi e giovani (consiglio comunale dei ragazzi..)",Comunitа educante,D,Comunitа educante,9,Progetti per protagonismo dei giovani,454
44,21,377,B04-0404,Agevolazioni per tariffe comunali,Misure economiche,B,Misure economiche,4,Agevolazioni e contributi,424
45,108,392,E18-1808,"Nido d’infanzia (pubblico, in convenzione)",Welfare territoriale e sostenibilitа,E,Welfare territoriale e sostenibilitа,18,Servizi territoriali,443
46,26,497,B04-0424,Agevolazioni tariffarie e contributi per servizi educativi e di conciliazione,Misure economiche,B,Misure economiche,4,Agevolazioni e contributi,604
47,64,511,D09-0928,Centri di aggregazione per giovani,Comunitа educante,D,Comunitа educante,9,Progetti per protagonismo dei giovani,589
48,56,552,D08-0820,"Attivitа di educazione ambientale (laboratori, giornate ecologiche, giornata del riuso, raccolta differenziata)",Comunitа educante,D,Comunitа educante,8,Formazione,622
